2026-09-09T11:26:12.080000Z,35.75000,-117.41000,14.0,0.11
CI.CCC,2026-09-09T11:26:17.750000Z,2026-09-09T11:26:21.650000Z,4.3928679130494385e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.FSR,2026-09-09T11:26:14.820000Z,2026-09-09T11:26:16.360000Z,3.776688997395384e-08,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.TOW2,2026-09-09T11:26:18.010000Z,2026-09-09T11:26:22.150000Z,8.714056597413434e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.WRC2,2026-09-09T11:26:18.030000Z,2026-09-09T11:26:22.340000Z,2.6087096726660384e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
2026-09-09T11:26:22.200000Z,33.41000,-116.59000,11.0,-1.00
AZ.FRD,2026-09-09T11:26:24.800000Z,2026-09-09T11:26:26.480000Z,3.6913771679860875e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
AZ.LVA2,2026-09-09T11:26:24.770000Z,2026-09-09T11:26:26.820000Z,5.274279290932418e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.ANG,2026-09-09T11:26:26.400000Z,2026-09-09T11:26:29.280000Z,2.3248675331958326e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.BOR,2026-09-09T11:26:26.760000Z,2026-09-09T11:26:29.860000Z,2.946669899574586e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.CARY,2026-09-09T11:26:26.370000Z,2026-09-09T11:26:29.390000Z,4.493142148438689e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.CSH,2026-09-09T11:26:27.140000Z,2026-09-09T11:26:30.340000Z,5.323089170414967e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.DNR,2026-09-09T11:26:25.930000Z,2026-09-09T11:26:29.470000Z,1.3245313031275429e-08,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.LKH,2026-09-09T11:26:26.920000Z,2026-09-09T11:26:30.520000Z,8.208828727976225e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
2026-09-09T11:27:26.400000Z,35.33000,-117.79000,14.0,0.40
CI.CCA,2026-09-09T11:27:32.030000Z,2026-09-09T11:27:35.580000Z,1.893919830323843e-08,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.CCC,2026-09-09T11:27:34.720000Z,2026-09-09T11:27:41.020000Z,6.8148139362887844e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.DTP,2026-09-09T11:27:28.660000Z,2026-09-09T11:27:30.070000Z,6.377477814113262e-08,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.EDW2,2026-09-09T11:27:36.310000Z,2026-09-09T11:27:42.730000Z,4.121480531087137e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.HYS,2026-09-09T11:27:36.030000Z,2026-09-09T11:27:42.630000Z,3.035867676447282e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.ISA,2026-09-09T11:27:38.780000Z,2026-09-09T11:27:47.420000Z,2.398636544169172e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.LDR,2026-09-09T11:27:36.980000Z,2026-09-09T11:27:45.130000Z,1.2377679021240741e-08,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
CI.LMR2,2026-09-09T11:27:34.650000Z,2026-09-09T11:27:39.710000Z,3.6598502571025375e-09,-1,-1.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,1,,,,initial,-1.0000,-1.0000,-1.0000
